schema_name,table_name,column_name,column_data_type,table_description,column_description
toantt_test,STTM_CUSTOMER,CUSTOMER_NO,VARCHAR2,bảng mo tả khách hàng ,Mã khách hàng
toantt_test,STTM_CUSTOMER,CUSTOMER_TYPE,CHAR,bảng mo tả khách hàng ,Loại khách hàng
toantt_test,STTM_CUSTOMER,CUSTOMER_NAME1,VARCHAR2,bảng mo tả khách hàng ,Tên khách hàng
toantt_test,STTM_CUSTOMER,ADDRESS_LINE1,VARCHAR2,bảng mo tả khách hàng ,Địa chỉ khách hàng
toantt_test,STTM_CUSTOMER,ADDRESS_LINE2,VARCHAR2,bảng mo tả khách hàng ,Địa chỉ khách hàng
toantt_test,STTM_CUSTOMER,ADDRESS_LINE3,VARCHAR2,bảng mo tả khách hàng ,Địa chỉ khách hàng
toantt_test,STTM_CUSTOMER,COUNTRY,VARCHAR2,bảng mo tả khách hàng ,Quốc gia
toantt_test,STTM_CUSTOMER,SHORT_NAME,VARCHAR2,bảng mo tả khách hàng ,-
toantt_test,STTM_CUSTOMER,NATIONALITY,VARCHAR2,bảng mo tả khách hàng ,Số Passport/CMND/Giấy ĐKKD
toantt_test,STTM_CUSTOMER,LANGUAGE,VARCHAR2,bảng mo tả khách hàng ,Ngôn ngữ
toantt_test,STTM_CUSTOMER,EXPOSURE_COUNTRY,VARCHAR2,bảng mo tả khách hàng ,Quốc gia có khi năng rủi ro
toantt_test,STTM_CUSTOMER,LOCAL_BRANCH,VARCHAR2,bảng mo tả khách hàng ,Chi nhánh
toantt_test,STTM_CUSTOMER,LIABILITY_NO,VARCHAR2,bảng mo tả khách hàng ,-
toantt_test,STTM_CUSTOMER,UNIQUE_ID_NAME,VARCHAR2,bảng mo tả khách hàng ,Định danh người vụ tai chính
toantt_test,STTM_CUSTOMER,UNIQUE_ID_VALUE,VARCHAR2,bảng mo tả khách hàng ,Loại giấy tờ
toantt_test,STTM_CUSTOMER,FROZEN,CHAR,bảng mo tả khách hàng ,Số Passport/CMND/Giấy ĐKKD
toantt_test,STTM_CUSTOMER,DECEASED,CHAR,bảng mo tả khách hàng ,"Trạng thái tài khoản bị ""đóng băng"""
